"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Northwest.Commission.on.Colleges.and.Universities","X11","X20","X7","X7","X0","X0","X0","X0","X0","X0","X1","X0","X0","X0","X2"
"Accrediting.Bureau.of.Health.Education.Schools","X12","X23","X10","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X11","X13","X4","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X11","X10","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X13","X26","X10","X6","X0","X0","X1","X0","X0","X0","X1","X0","X0","X0","X2"
"Accrediting.Bureau.of.Health.Education.Schools","X11","X26","X5","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X12","X15","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X1","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X15","X11","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X30","X11","X6","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X41","X2","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X9","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X6","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X30","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X2","X1","X5","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X17","X5","X15","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X11","X8","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X2","X1","X5","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X5","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X43","X33","X7","X9","X0","X0","X0","X1","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X16","X11","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X9","X1","X2","X0","X0","X0","X0","X0","X0","X1","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X5","X1","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X1","X1","X5","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Accrediting.Bureau.of.Health.Education.Schools","X11","X26","X10","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X13","X20","X13","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X11","X11","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X12","X9","X1","X4","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X3","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X2","X1","X3","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X11","X22","X11","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X22","X11","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Higher.Learning.Commission","X13","X6","X1","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X16","X9","X12","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X25","X7","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X23","X11","X8","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1","X2"
"Higher.Learning.Commission","X33","X21","X14","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X13","X15","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X22","X10","X11","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X31","X5","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X16","X9","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X18","X10","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X19","X10","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Accrediting.Bureau.of.Health.Education.Schools","X12","X10","X4","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X4","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X17","X13","X13","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X22","X11","X7","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X6","X1","X2","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X22","X10","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X3","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X23","X7","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X7","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X17","X14","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X19","X13","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X21","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X19","X15","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X21","X3","X1","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X41","X9","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
