"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","MAIN","NUMBRANCH","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","ACTCM25","ACTWR25","ACTWR75"
"Muscle Shoals","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"13","34.739788","-87.678089","5","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Florence","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"13","34.806738","-87.681361","18","13","13","0","0","0","0","0","0","0","0","0","NULL","0.7022","19","NULL","NULL"
"Rainsville","AL","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"42","34.545471","-85.911664","5","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","34.756344","-86.652705","22","10","11","1","0","0","0","0","0","0","0","0","95","0.4707","17","NULL","NULL"
"Monroeville","AL","Southern Association of Colleges and Schools Commission on Colleges","NULL",0,0,3,1,5,"41","31.488925","-87.326352","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Evergreen","AL","Council on Occupational Education","1",0,1,1,1,5,"41","31.460265","-86.964797","8","2","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"12","30.693972","-88.056982","8","2","3","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"21","33.464128","-86.791799","17","14","14","0","0","0","0","0","0","0","0","0","54","0.8319","23","NULL","NULL"
"Selma","AL","NULL","3",1,1,1,2,5,"32","32.420387","-87.032392","24","7","6","1","1","0","0","0","0","0","0","0","54","NULL","NULL","NULL","NULL"
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"12","33.120531","-87.56148","7","2","3","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Boaz","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","34.201495","-86.169897","2","2","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,1,5,"12","30.696033","-88.178711","16","13","16","0","0","0","0","0","0","0","0","0","NULL","0.8208","20","6","8"
"Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","30.694751","-88.138199","21","12","11","0","0","0","0","0","0","0","0","0","30","0.4568","21","NULL","NULL"
"Tuscaloosa","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"12","33.200006","-87.585278","21","15","8","1","0","0","0","0","0","0","0","0","66","0.4812","NULL","NULL","NULL"
"Talladega","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"32","33.433472","-86.112704","21","11","8","1","0","0","0","0","0","0","0","0","76","NULL","NULL","NULL","NULL"
"Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges","1",0,1,1,1,5,"12","32.350109","-86.343057","7","2","2","1","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Troy","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,4,1,5,"33","31.800672","-85.957094","18","7","15","0","0","0","0","0","0","0","0","0","NULL","0.8812","18","NULL","NULL"
"Tuskegee","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"32","32.4309","-85.708492","19","10","14","1","0","0","0","0","0","0","0","0","NULL","0.5032","18","NULL","NULL"
"Daphne","AL","Southern Association of Colleges and Schools Commission on Colleges","3",0,1,1,2,5,"13","30.639329","-87.91163","32","5","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Jasper","AL","Southern Association of Colleges and Schools Commission on Colleges","2",0,1,1,1,5,"32","33.836929","-87.266406","8","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Anchorage","AK","Northwest Commission on Colleges and Universities","3",0,1,1,1,8,"11","61.190163","-149.82619","18","5","15","0","0","0","0","0","0","0","0","0","NULL","0.8283","NULL","NULL","NULL"
"Palmer","AK","Association for Bibical Higher Educaiton","3",0,1,1,2,8,"32","61.598553","-149.111972","24","10","8","0","0","0","0","0","0","0","0","0","88","NULL","NULL","NULL","NULL"
"Fairbanks","AK","Northwest Commission on Colleges and Universities","3",0,1,1,1,8,"23","64.85756","-147.823146","16","5","13","0","0","1","0","0","0","0","0","0","NULL","0.767","17","6","8"
"Juneau","AK","Northwest Commission on Colleges and Universities","3",0,1,1,1,8,"33","58.384846","-134.638255","19","5","9","0","0","1","0","0","0","0","0","0","NULL","0.7105","NULL","NULL","NULL"
"Anchorage","AK","Northwest Commission on Colleges and Universities","3",0,1,1,2,8,"11","61.190968","-149.804168","20","7","7","0","0","0","0","0","0","1","0","0","71","0.86","NULL","NULL","NULL"
"Seward","AK","Council on Occupational Education","1",0,1,1,1,8,"43","60.110626","-149.444487","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Vancouver","WA","Accrediting Bureau of Health Education Schools","1",0,1,1,3,8,"12","45.617798","-122.494766","23","10","9","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Anchorage","AK","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,8,"11","61.181443","-149.856954","13","4","1","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,0,11,3,6,"11","32.235657","-110.927187","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Glendale","AZ","NULL","3",0,0,10,1,6,"21","33.620887","-112.180861","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","NULL","1",0,1,1,3,6,"11","33.426692","-112.162577","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1",0,1,6,3,6,"11","33.561689","-112.116105","10","4","2","0","0","0","0","0","0","0","0","0","NULL","0.7062","NULL","NULL","NULL"
"Mesa","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1",0,0,6,3,6,"11","33.39248","-111.853218","10","4","1","0","0","0","0","0","0","0","0","0","NULL","0.553","NULL","NULL","NULL"
"Tucson","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges","1",0,0,6,3,6,"11","32.224391","-110.983056","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","0.9451","NULL","NULL","NULL"
"Flagstaff","AZ","Accrediting Commission of Career Schools and Colleges","2",0,1,3,2,6,"13","35.194495","-111.657673","26","10","6","0","0","1","0","0","0","1","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"11","32.237253","-110.872305","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Glendale","AZ","Accrediting Commission of Career Schools and Colleges","1",0,0,10,3,6,"21","33.537249","-112.157344","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Accrediting Bureau of Health Education Schools","1",0,1,4,3,6,"11","33.566102","-112.112473","26","5","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tempe","AZ","Higher Learning Commission","3",0,1,10,1,6,"12","33.417721","-111.934383","15","15","16","0","0","0","0","0","0","0","0","0","NULL","0.8415","22","NULL","NULL"
"Yuma","AZ","Higher Learning Commission","1",0,1,1,1,6,"13","32.689306","-114.495968","1","1","3","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","Higher Learning Commission","3",0,1,2,1,6,"11","32.232672","-110.950815","15","11","15","0","0","0","0","0","1","0","0","0","NULL","0.8358","NULL","NULL","NULL"
"Tucson","AZ","Higher Learning Commission","3",0,1,2,3,6,"11","32.252879","-110.927265","30","11","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Coolidge","AZ","Higher Learning Commission","1",0,1,1,1,6,"41","32.957092","-111.652501","2","1","3","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","NULL","3",1,0,21,3,6,"11","32.236736","-110.895086","23","11","6","NULL","NULL","NULL","NULL","NULL","NU","NULL","0","0","NULL","NULL","NULL","NULL","NULL"
"Lake Havasu City","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,6,"13","34.477485","-114.332686","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Sierra Vista","AZ","Higher Learning Commission","2",0,1,1,1,6,"13","31.564597","-110.246946","9","1","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
